Sample,Temp,V,I,Power,Leak
0,28.000000,0.000700,0.000000,0.000000,0.000000
1,29.300000,0.991300,0.539900,0.535203,0.491563
2,29.600000,1.068300,0.580700,0.620362,0.570590
3,29.700000,1.086600,0.590400,0.641529,0.590379
4,29.800000,1.092600,0.593400,0.648349,0.597113
5,29.900000,1.099000,0.596700,0.655773,0.603916
6,30.000000,1.105300,0.600100,0.663291,0.610789
7,30.100000,1.111300,0.603200,0.670336,0.617734
8,30.200000,1.117600,0.606600,0.677936,0.624751
9,30.300000,1.124000,0.609900,0.685528,0.631840
10,30.400000,1.130300,0.613200,0.693100,0.639003
11,30.500000,1.136600,0.616700,0.700941,0.646240
12,30.600000,1.143000,0.620000,0.708660,0.653552
13,30.700000,1.149600,0.623400,0.716661,0.660940
14,30.800000,1.156300,0.626900,0.724884,0.668404
15,30.900000,1.162300,0.630200,0.732481,0.675945
16,30.940000,1.169000,0.633500,0.740561,0.683564
17,31.020000,1.171600,0.635000,0.743966,0.686634
18,31.100000,1.176900,0.637700,0.750509,0.692812
19,31.200000,1.181900,0.640400,0.756889,0.699041
20,31.300000,1.188600,0.643900,0.765340,0.706899
21,31.400000,1.195300,0.647400,0.773837,0.714839
22,31.450000,1.201900,0.650900,0.782317,0.722861
23,31.500000,1.205300,0.652500,0.786458,0.726903
24,31.590000,1.208900,0.654500,0.791225,0.730966
25,31.600000,1.214900,0.657700,0.799040,0.738333
26,31.680000,1.215600,0.658000,0.799865,0.739155
27,31.700000,1.220900,0.660800,0.806771,0.745768
28,31.720000,1.222300,0.661300,0.808307,0.747429
29,31.800000,1.223600,0.662000,0.810023,0.749094
30,31.800000,1.229300,0.665000,0.817485,0.755789
31,31.900000,1.229300,0.665000,0.817485,0.755789
