Sample,Temp,V,I,Power,Leak
0,30.3,0.0007,0,0,0
1,31.33,1.175,0.5799,0.681383,0.812369
2,31.37,1.2396,0.5656,0.701118,0.904222
3,31.39,1.2423,0.5529,0.686868,0.907992
4,31.4,1.2436,0.5183,0.644558,0.909882
5,31.4,1.2439,0.5394,0.67096,0.910829
6,31.4,1.2439,0.5478,0.681408,0.910829
7,31.5,1.2439,0.5321,0.661879,0.910829
8,31.61,1.2506,0.5553,0.694458,0.920351
9,31.6,1.2579,0.5809,0.730714,0.93094
10,31.56,1.2573,0.5786,0.727474,0.929973
11,31.54,1.2546,0.5638,0.707343,0.926112
12,31.5,1.2533,0.5706,0.715133,0.924188
13,31.5,1.2506,0.5503,0.688205,0.920351
14,31.6,1.2506,0.5261,0.657941,0.920351
15,31.5,1.2573,0.5686,0.714901,0.929973
16,31.57,1.2506,0.5458,0.682577,0.920351
17,31.54,1.2553,0.5456,0.684892,0.927076
18,31.5,1.2533,0.5591,0.70072,0.924188
19,31.5,1.2506,0.5454,0.682077,0.920351
20,31.5,1.2506,0.5493,0.686955,0.920351
21,31.5,1.2506,0.5213,0.651938,0.920351
22,31.5,1.2506,0.5643,0.705714,0.920351
23,31.47,1.2506,0.5308,0.663818,0.920351
24,31.5,1.2486,0.5479,0.684108,0.917484
25,31.5,1.2506,0.5401,0.675449,0.920351
26,31.53,1.2506,0.5474,0.684578,0.920351
27,31.51,1.2526,0.5286,0.662124,0.923227
28,31.5,1.2513,0.5218,0.652928,0.921309
29,31.5,1.2506,0.5048,0.631303,0.920351
30,31.59,1.2506,0.5746,0.718595,0.920351
