Sample,Temp,V,I,Power,Leak
0,27.500000,0.000700,0.000000,0.000000,0.000000
1,28.400000,1.015700,0.503000,0.510897,0.607137
2,28.500000,1.064700,0.526500,0.560565,0.666710
3,28.600000,1.070000,0.529600,0.566672,0.673680
4,28.600000,1.075700,0.533000,0.573348,0.680723
5,28.600000,1.075700,0.533300,0.573671,0.680723
6,28.600000,1.075700,0.533600,0.573994,0.680723
7,28.600000,1.075700,0.533600,0.573994,0.680723
8,28.600000,1.075700,0.533600,0.573994,0.680723
9,28.600000,1.075700,0.533600,0.573994,0.680723
