Sample,Temp,V,I,Power,Leak
0,36.600000,0.000700,0.000000,0.000000,0.000000
1,38.000000,1.128600,0.561100,0.633257,0.636863
2,38.300000,1.212600,0.601100,0.728894,0.735651
3,38.400000,1.231600,0.609600,0.750783,0.758737
4,38.370000,1.237900,0.612100,0.757719,0.766592
5,38.400000,1.235900,0.610100,0.754023,0.764227
6,38.400000,1.235900,0.610100,0.754023,0.764227
7,38.390000,1.225900,0.559100,0.685401,0.751736
8,38.400000,1.235800,0.610100,0.750783,0.765803
9,37.390000,1.225900,0.558000,0.684052,0.751449
