Ts,Ts_e,Q1,Q2,Q3,Q_f
240,300,0.090711948,0.190495091,0.272135844,0.215531638
241,301,0.103237134,0.216797981,0.309711402,0.240798183
242,302,0.117370256,0.246477537,0.352110767,0.269026698
243,303,0.133301893,0.279933974,0.399905678,0.300564412
244,304,0.151243294,0.317610918,0.453729883,0.335799259
245,305,0.171428411,0.359999663,0.514285232,0.375164649
246,306,0.194116097,0.407643804,0.582348291,0.419144803
247,307,0.21959251,0.461144271,0.65877753,0.468280702
248,308,0.248173709,0.521164789,0.744521127,0.523176752
249,309,0.280208479,0.588437806,0.840625437,0.584508206
250,310,0.316081387,0.663770914,0.948244162,0.653029482
251,311,0.356216098,0.748053805,1.068648294,0.729583435
252,312,0.401078953,0.8422658,1.203236858,0.815111726
253,313,0.451182849,0.947483983,1.353548547,0.910666407
254,314,0.507091427,1.064891996,1.52127428,1.017422862
255,315,0.569423587,1.195789533,1.708270761,1.136694264
256,316,0.638858371,1.34160258,1.916575114,1.269947724
257,317,0.716140219,1.50389446,2.148420657,1.418822347
258,318,0.802084628,1.68437772,2.406253885,1.585149383
259,319,0.897584258,1.884926941,2.692752773,1.770974761
260,320,1.00361548,2.107592508,3.01084644,1.97858425
261,321,1.121245436,2.354615416,3.363736308,2.21053158
262,322,1.251639606,2.628443173,3.754918818,2.469669848
263,323,1.39606994,2.931746875,4.188209821,2.75918662
264,324,1.555923581,3.26743952,4.667770743,3.082643136
265,325,1.732712212,3.638695645,5.198136635,3.444018116
266,326,1.928082074,4.048972356,5.784246223,3.8477567
267,327,2.143824693,4.502031855,6.431474078,4.29882513
268,328,2.381888349,5.001965533,7.145665047,4.802771832
269,329,2.644390351,5.553219736,7.933171052,5.365795671
270,330,2.933630144,6.160623302,8.800890431,5.994822197
271,331,3.252103313,6.829416957,9.756309939,6.697588833
272,332,3.602516525,7.565284702,10.80754957,7.482740056
273,333,3.987803469,8.374387286,11.96341041,8.359933722
274,334,4.411141848,9.26339788,13.23342554,9.33995987
275,335,4.875971476,10.2395401,14.62791443,10.43487344
276,336,5.386013559,11.31062847,16.15804068,11.65814257
277,337,5.945291196,12.48511151,17.83587359,13.02481423
278,338,6.558151196,13.77211751,19.67445359,14.55169937
279,339,7.229287256,15.18150324,21.68786177,16.25757962
280,340,7.963764597,16.72390565,23.89129379,18.16343841
281,341,8.767046102,18.41079682,26.30113831,20.292719
282,342,9.645020072,20.25454215,28.93506022,22.67161288
